house_title,house_type,house_location,price,no_of_reviews,rating,house_detail,amenity_detail
Spacious Private Home 10mins to Downtown!Free Prk!,Entire home,Toronto,$89 ,206 reviews,4.51,"['9 guests', '3 bedrooms', '5 beds', '1 bath', '\U000f0004\n385 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
"Private Room in Hard, Downtown Toronto Loft",Sparkling clean,Toronto,$79 ,166 reviews,4.98,"['1 guest', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n166 Reviews', '\U000f0019\nVerified']","['Wifi', 'Laptop-friendly workspace', 'Iron', 'Hangers', 'All hosts must meet our requirements and maintain a high overall rating.']"
Heritage Townhome 1 - On The Park!,Entire home,Toronto,$97 ,251 reviews,4.4,"['4 guests', '1 bedroom', '2 beds', '1 bath', '\U000f0004\n591 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
"Wonderful flat in Leslieville, Toronto",Entire home,Toronto,$110 ,88 reviews,4.83,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n88 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Cable TV', 'TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
4 Beds + 8 ppl - Waterfront Condo,Entire home,Toronto,$111 ,121 reviews,4.52,"['8 guests', '2 bedrooms', '4 beds', '1 bath', '\U000f0004\n121 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV', 'Unavailable: Smoke detector\nSmoke detector', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector', 'All hosts must meet our requirements and maintain a high overall rating.']"
3min Downtown YONGE/ BLOOR QUEENBED CLEAN,Great check-in experience,Toronto,$55 ,250 reviews,4.49,"['2 guests', '1 bedroom', '1 bed', '1 shared bath', '\U000f0004\n1395 Reviews', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Dryer', 'Washer', 'Unavailable: Smoke detector\nSmoke detector', 'Unavailable: Carbon monoxide detector\nCarbon monoxide detector', 'All hosts must meet our requirements and maintain a high overall rating.']"
Luxury 2 Bedroom & 2 Bathroom by CN Tower,Entire home,Toronto,$148 ,73 reviews,4.96,"['4 guests', '2 bedrooms', '2 beds', '2 baths', '\U000f0004\n112 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts must meet our requirements and maintain a high overall rating.']"
Modern Suite With Amazing Views Of The Lake,Entire home,Toronto,$90 ,222 reviews,4.82,"['6 guests', '1 bedroom', '3 beds', '1 bath', '\U000f0004\n683 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Cable TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
"Private Unit, Parking across the street,Kensington",Entire home,Toronto,$45 ,175 reviews,4.36,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n429 Reviews', '\U000f0019\nVerified']","['Wifi', 'Laptop-friendly workspace', 'TV', 'Dryer', 'All hosts must meet our requirements and maintain a high overall rating.']"
Spacious Bright Newly Renovated Two Bedroom Suite,Entire home,Toronto,$28 ,138 reviews,4.23,"['5 guests', '2 bedrooms', '2 beds', '1 bath', '\U000f0004\n138 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Laptop-friendly workspace', 'Iron', 'All hosts must meet our requirements and maintain a high overall rating.']"
"Newly renovated, Bright & Private Bachelor suite",Entire home,Vaughan,$70 ,121 reviews,4.92,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n121 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Laptop-friendly workspace', 'All hosts must meet our requirements and maintain a high overall rating.']"
View CN Tower right from your bedroom!,Entire home,Toronto,$118 ,203 reviews,4.69,"['4 guests', '2 bedrooms', '2 beds', '2 baths', '\U000f0004\n812 Reviews', '\U000f0019\nVerified']","['Free parking on premises', 'Elevator', 'Wifi', 'Kitchen', 'All hosts must meet our requirements and maintain a high overall rating.']"
Cozy studio suite in artist's home,Entire home,Toronto,$57 ,117 reviews,4.41,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n117 Reviews', '\U000f1101\n4 References', '\U000f0019\nVerified']","['Wifi', 'Kitchen', 'Laptop-friendly workspace', 'TV', 'All hosts must meet our requirements and maintain a high overall rating.']"
Cozy & quiet apartment in the heart of DT Toronto,Entire home,Toronto,$90 ,325 reviews,4.69,"['2 guests', 'Studio', '1 bed', '1 bath', '\U000f0004\n352 Reviews', '\U000f0019\nVerified']","['Elevator', 'Wifi', 'Kitchen', 'Hot tub', 'All hosts must meet our requirements and maintain a high overall rating.']"
"Beautiful, Bright Apt. with free parking",Entire home,Toronto,,,4.9,"['2 guests', '1 bedroom', '1 bed', '1 bath', '\U000f0004\n731 Reviews', '\U000f1101\n2 References', '\U000f0019\nVerified']","['Free parking on premises', 'Wifi', 'Kitchen', 'Pool', 'All hosts must meet our requirements and maintain a high overall rating.']"
