"Glen Grove Residences - Conservatory, Toronto",HOTEL,,,See all 26 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.659192', '-79.385177']"
"Isabella Hotel and Suites, Toronto",HOTEL,$86 CAD,,See all 521 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.669979', '-79.375906']"
"Homewood Suites by Hilton Toronto-Mississauga, Mississauga",HOTEL,$144 CAD,,See all 280 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.636666', '-79.689921']"
"Residence Inn by Marriott Toronto Airport, Toronto",HOTEL,$139 CAD,,See all 138 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.69051', '-79.5878']"
"Residence & Conference Centre - Oakville, Oakville",HOTEL,,,See all 145 Hotels.com reviews,Good6.2,"1 room, 1 adult","['43.470533', '-79.695615']"
"Residence & Conference Centre - Brampton, Brampton",HOTEL,,,See all 121 Hotels.com reviews,Good6.4,"1 room, 1 adult","['43.657047', '-79.736633']"
"Residence Inn by Marriott Mississauga - Arpt Corp Ctr West, Mississauga",HOTEL,$119 CAD,,See all 234 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.642099', '-79.615383']"
"Courtyard by Marriott Mississauga - Airport Corporate Centre West, Mississauga",HOTEL,$118 CAD,,See all 268 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.642099', '-79.615383']"
"Sheraton Parkway Toronto North Hotel & Suites, Richmond Hill",HOTEL,$112 CAD,,See all 494 Hotels.com reviews,Good6.6,"1 room, 1 adult","['43.84499', '-79.382417']"
"Courtyard by Marriott Toronto Brampton, Brampton",HOTEL,$114 CAD,,See all 744 Hotels.com reviews,Good6.4,"1 room, 1 adult","['43.680871', '-79.713728']"
"Fairfield Inn and Suites by Marriott Toronto Brampton, Brampton",HOTEL,$84 CAD,,See all 660 Hotels.com reviews,Fabulous8.6,"1 room, 1 adult","['43.679316', '-79.703087']"
"Executive Hotel Cosmopolitan Toronto, Toronto",HOTEL,$159 CAD,,See all 988 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.648623', '-79.377001']"
"One King West Hotel & Residence, Toronto",HOTEL,$152 CAD,,"See all 5,669 Hotels.com reviews",Very Good8.0,"1 room, 1 adult","['43.649158', '-79.377909']"
"Comfort Inn Mississauga, Mississauga",HOTEL,$109 CAD,,See all 265 Hotels.com reviews,6.0,"1 room, 1 adult","['43.65066', '-79.71117']"
"Homewood Suites by Hilton Toronto/Oakville, Oakville",HOTEL,$170 CAD,,See all 169 Hotels.com reviews,6.0,"1 room, 1 adult","['43.511633', '-79.669068']"
"EconoLodge Downtown Toronto, Toronto",HOTEL,$93 CAD,,See all 229 Hotels.com reviews,Good7.0,"1 room, 1 adult","['43.660241', '-79.375816']"
"Monte Carlo Inn Vaughan Suites, Vaughan",HOTEL,$98 CAD,,"See all 1,239 Hotels.com reviews",Superb9.0,"1 room, 1 adult","['43.79633', '-79.53619']"
"Hilton Garden Inn Toronto/Ajax, Ajax",HOTEL,$134 CAD,,See all 452 Hotels.com reviews,Exceptional9.6,"1 room, 1 adult","['43.85765', '-79.00965']"
"Hilton Garden Inn Toronto-Vaughan, Vaughan",HOTEL,$127 CAD,,See all 659 Hotels.com reviews,Superb9.0,"1 room, 1 adult","['43.791564', '-79.530523']"
"Super 8 by Wyndham Mississauga, Mississauga",HOTEL,$89 CAD,,See all 449 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.64691', '-79.68333']"
"Pimblett's Downtown Toronto B&B, Toronto",HOTEL,,,See all 30 Hotels.com reviews,Very Good8.0,"1 room, 1 adult","['43.661787', '-79.369715']"
"Residence Inn by Marriott Toronto Vaughan, Vaughan",HOTEL,$161 CAD,,See all 336 Hotels.com reviews,10.0,"1 room, 1 adult","['43.791119', '-79.530351']"
"Admiral Inn Mississauga Toronto, Mississauga",HOTEL,$90 CAD,,See all 553 Hotels.com reviews,10.0,"1 room, 1 adult","['43.521963', '-79.65087']"
"Holiday Inn Express & Suites Brampton, Brampton",HOTEL,$106 CAD,,See all 298 Hotels.com reviews,Good6.4,"1 room, 1 adult","['43.742037', '-79.691702']"
